"","userID","sessionID","actionTaken","timelineMSEC","durationMSEC","X","Y","Rel__dist_","Total_dist_"
"1","ID01","ID01_Session01","Left mouse button pressed",0,78,"286","909","1516.28","5842.69"
"2","ID01","ID01_Session01","Left mouse button pressed",28406,94,"561","719","333.40","3375.46"
"3","ID01","ID01_Session01","Left mouse button pressed",33687,125,"305","480","350.22","1216.32"
"4","ID01","ID01_Session01","Left mouse button pressed",52562,110,"117","472","0.00","0.00"
"5","ID01","ID01_Session01","Left mouse button pressed",63172,578,"654","367","490.90","986.00"
"6","ID01","ID01_Session01","Left mouse button pressed",63953,78,"811","399","21.10","21.65"
"7","ID01","ID01_Session01","Left mouse button pressed",207546,109,"592","534","257.27","3977.26"
"8","ID01","ID01_Session01","Left mouse button pressed",216421,187,"710","618","144.84","165.01"
"9","ID01","ID01_Session01","Left mouse button pressed",217749,609,"568","532","166.01","190.26"
"10","ID01","ID01_Session01","Left mouse button pressed",218608,94,"703","538","4.47","5.41"
"11","ID01","ID01_Session01","Left mouse button pressed",261889,110,"612","616","79.85","92.66"
"12","ID01","ID01_Session01","Left mouse button pressed",320217,484,"676","625","79.93","759.38"
"13","ID01","ID01_Session01","Left mouse button pressed",320889,62,"779","632","12.21","12.54"
"14","ID01","ID01_Session01","Left mouse button pressed",321670,375,"558","637","221.06","221.86"
"15","ID01","ID01_Session01","Left mouse button pressed",322264,94,"666","647","56.72","57.96"
"16","ID01","ID01_Session01","Left mouse button pressed",326889,406,"618","561","76.53","157.31"
"17","ID01","ID01_Session01","Left mouse button pressed",327561,62,"745","565","10.77","11.99"
"18","ID01","ID01_Session01","Left mouse button pressed",330686,125,"614","582","132.10","489.20"
"19","ID01","ID01_Session01","Left mouse button pressed",331123,94,"724","600","111.46","112.43"
"20","ID01","ID01_Session01","Left mouse button pressed",337529,110,"487","115","507.67","549.53"
"21","ID01","ID01_Session01","Left mouse button pressed",338498,94,"411","439","332.79","398.13"
"22","ID01","ID01_Session01","Left mouse button pressed",354560,63,"1580","610","1165.35","3281.86"
"23","ID01","ID01_Session01","Left mouse button pressed",408888,141,"871","793","570.73","2331.05"
"24","ID01","ID01_Session01","Left mouse button pressed",418888,141,"946","563","134.94","230.46"
"25","ID01","ID01_Session01","Left mouse button pressed",600481,78,"570","424","389.13","1038.66"
"26","ID01","ID01_Session01","Left mouse button pressed",610434,172,"541","769","346.22","751.06"
"27","ID01","ID01_Session01","Left mouse button pressed",850901,1109,"636","532","222.08","1848.36"
"28","ID01","ID01_Session01","Left mouse button pressed",852464,78,"899","556","134.65","138.81"
"29","ID01","ID01_Session01","Left mouse button pressed",1157727,891,"718","322","324.72","1131.63"
"30","ID01","ID01_Session01","Left mouse button pressed",1158946,62,"963","329","9.90","13.41"
"31","ID01","ID01_Session01","Left mouse button pressed",1159805,485,"947","326","16.28","93.56"
"32","ID01","ID01_Session01","Left mouse button pressed",1160446,94,"1065","325","2.24","3.00"
"33","ID01","ID01_Session01","Left mouse button pressed",1161462,578,"753","357","313.64","332.68"
"34","ID01","ID01_Session01","Left mouse button pressed",1162196,78,"928","368","5.83","6.65"
"35","ID01","ID01_Session01","Left mouse button pressed",1162883,610,"911","360","18.79","57.96"
"36","ID01","ID01_Session01","Left mouse button pressed",1163633,94,"1025","368","5.00","5.00"
"37","ID01","ID01_Session01","Left mouse button pressed",1164493,719,"741","376","284.11","284.97"
"38","ID01","ID01_Session01","Left mouse button pressed",1165415,93,"948","384","8.06","8.66"
"39","ID01","ID01_Session01","Left mouse button pressed",1165805,422,"984","385","36.01","36.41"
"40","ID01","ID01_Session01","Left mouse button pressed",1166383,78,"1076","394","3.16","4.00"
"41","ID01","ID01_Session01","Left mouse button pressed",1167399,516,"826","398","250.03","256.66"
"42","ID01","ID01_Session01","Left mouse button pressed",1168055,94,"981","407","5.00","5.00"
"43","ID01","ID01_Session01","Left mouse button pressed",1169836,625,"715","271","263.30","298.08"
"44","ID01","ID01_Session01","Left mouse button pressed",1170696,125,"841","298","89.50","91.58"
"45","ID01","ID01_Session01","Left mouse button pressed",1171461,110,"1021","279","181.00","183.42"
"46","ID01","ID01_Session01","Left mouse button pressed",1174430,141,"827","295","194.66","446.45"
"47","ID01","ID01_Session01","Left mouse button pressed",1180868,484,"770","321","62.65","617.39"
"48","ID01","ID01_Session01","Left mouse button pressed",1181540,78,"913","325","19.00","19.00"
"49","ID01","ID01_Session01","Left mouse button pressed",1189071,484,"1023","154","228.95","452.43"
"50","ID01","ID01_Session01","Left mouse button pressed",1189774,78,"1078","158","2.00","2.00"
"51","ID01","ID01_Session01","Left mouse button pressed",1191118,468,"671","201","409.27","414.12"
"52","ID01","ID01_Session01","Left mouse button pressed",1191758,78,"714","220","15.62","16.78"
"53","ID01","ID01_Session01","Left mouse button pressed",1379179,78,"25","68","1165.24","1702.61"
"54","ID01","ID01_Session01","Left mouse button pressed",1382429,109,"419","526","604.15","1703.62"
"55","ID01","ID01_Session01","Left mouse button pressed",1400491,94,"783","688","398.42","1055.23"
"56","ID01","ID01_Session01","Left mouse button pressed",1417726,828,"525","503","317.47","2431.60"
"57","ID01","ID01_Session01","Left mouse button pressed",1418788,78,"660","505","0.00","0.00"
"58","ID01","ID01_Session01","Left mouse button pressed",1419460,469,"690","509","30.27","63.41"
"59","ID01","ID01_Session01","Left mouse button pressed",1420132,109,"821","512","15.00","15.00"
"60","ID01","ID01_Session01","Left mouse button pressed",1420804,312,"846","511","25.02","62.00"
"61","ID01","ID01_Session01","Left mouse button pressed",1421241,94,"874","518","7.81","8.89"
"62","ID01","ID01_Session01","Left mouse button pressed",1422179,921,"520","527","354.11","354.81"
"63","ID01","ID01_Session01","Left mouse button pressed",1423241,78,"828","529","0.00","0.00"
"64","ID01","ID01_Session01","Left mouse button pressed",1424319,1266,"535","566","295.33","309.70"
"65","ID01","ID01_Session01","Left mouse button pressed",1425788,94,"879","573","5.00","5.00"
"66","ID01","ID01_Session01","Left mouse button pressed",1496413,312,"796","590","22.47","162.11"
"67","ID01","ID01_Session01","Left mouse button pressed",1496897,94,"847","642","49.65","50.07"
"68","ID01","ID01_Session01","Left mouse button pressed",1498381,375,"756","462","196.60","254.79"
"69","ID01","ID01_Session01","Left mouse button pressed",1498928,94,"834","471","7.00","8.24"
"70","ID01","ID01_Session01","Left mouse button pressed",1499522,390,"757","502","83.01","106.88"
"71","ID01","ID01_Session01","Left mouse button pressed",1500084,94,"829","523","34.00","35.26"
"72","ID01","ID01_Session01","Left mouse button pressed",1502725,672,"733","361","189.45","333.59"
"73","ID01","ID01_Session01","Left mouse button pressed",1503537,110,"850","377","40.31","40.90"
"74","ID01","ID01_Session01","Left mouse button pressed",1504678,844,"723","380","127.04","142.78"
"75","ID01","ID01_Session01","Left mouse button pressed",1505678,94,"836","409","51.04","52.32"
"76","ID01","ID01_Session01","Left mouse button pressed",1506209,469,"762","396","75.13","79.44"
"77","ID01","ID01_Session01","Left mouse button pressed",1506819,62,"823","406","12.21","12.95"
"78","ID01","ID01_Session01","Left mouse button pressed",1507537,797,"716","421","108.05","116.01"
"79","ID01","ID01_Session01","Left mouse button pressed",1508506,125,"895","422","8.25","8.65"
"80","ID01","ID01_Session01","Left mouse button pressed",1511272,422,"836","404","61.68","642.63"
"81","ID01","ID01_Session01","Left mouse button pressed",1511881,94,"870","447","15.81","17.48"
"82","ID01","ID01_Session01","Left mouse button pressed",1514991,765,"732","417","192.07","288.26"
"83","ID01","ID01_Session01","Left mouse button pressed",1515912,110,"852","427","11.66","13.30"
"84","ID01","ID01_Session01","Left mouse button pressed",1518256,1266,"738","388","55.76","68.98"
"85","ID01","ID01_Session01","Left mouse button pressed",1519709,94,"903","419","12.37","13.65"
"86","ID01","ID01_Session01","Left mouse button pressed",1520897,906,"741","405","162.60","177.50"
"87","ID01","ID01_Session01","Left mouse button pressed",1522053,125,"906","411","0.00","0.00"
"88","ID01","ID01_Session01","Left mouse button pressed",1544084,125,"824","586","193.26","3544.75"
"89","ID01","ID01_Session01","Left mouse button pressed",1546647,1562,"744","466","144.22","201.76"
"90","ID01","ID01_Session01","Left mouse button pressed",1548412,94,"911","604","29.73","33.63"
