userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime
ID01,ID01_Session01,1,27500,906,828
ID01,ID01_Session01,0,94,28406,0
ID01,ID01_Session01,0,125,33687,5187
ID01,ID01_Session01,1,13609,38953,5141
ID01,ID01_Session01,0,110,52562,0
ID01,ID01_Session01,1,8657,54515,1843
ID01,ID01_Session01,0,578,63172,0
ID01,ID01_Session01,0,78,63953,203
ID01,ID01_Session01,0,109,207546,143515
ID01,ID01_Session01,0,187,216421,8766
ID01,ID01_Session01,0,609,217749,1141
ID01,ID01_Session01,0,94,218608,250
ID01,ID01_Session01,1,41796,220093,1391
ID01,ID01_Session01,0,110,261889,0
ID01,ID01_Session01,1,13453,262733,734
ID01,ID01_Session01,1,16062,304155,27969
ID01,ID01_Session01,0,484,320217,0
ID01,ID01_Session01,0,62,320889,188
ID01,ID01_Session01,0,375,321670,719
ID01,ID01_Session01,0,94,322264,219
ID01,ID01_Session01,1,3797,323092,734
ID01,ID01_Session01,0,406,326889,0
ID01,ID01_Session01,0,62,327561,266
ID01,ID01_Session01,0,125,330686,3063
ID01,ID01_Session01,0,94,331123,312
ID01,ID01_Session01,1,4579,331607,390
ID01,ID01_Session01,0,110,337529,1343
ID01,ID01_Session01,0,94,338498,859
ID01,ID01_Session01,1,15421,339139,547
ID01,ID01_Session01,0,63,354560,0
ID01,ID01_Session01,1,41140,355045,422
ID01,ID01_Session01,0,141,408888,12703
ID01,ID01_Session01,1,9469,409419,390
ID01,ID01_Session01,0,141,418888,0
ID01,ID01_Session01,1,45327,470857,51828
ID01,ID01_Session01,0,78,600481,84297
ID01,ID01_Session01,0,172,610434,9875
ID01,ID01_Session01,1,2735,633449,22843
ID01,ID01_Session01,1,43796,652387,16203
ID01,ID01_Session01,1,50640,705543,9360
ID01,ID01_Session01,1,38812,777370,21187
ID01,ID01_Session01,1,30922,819979,3797
ID01,ID01_Session01,0,1109,850901,0
ID01,ID01_Session01,0,78,852464,454
ID01,ID01_Session01,1,20031,856151,3609
ID01,ID01_Session01,1,45937,936869,60687
ID01,ID01_Session01,2,844,982806,0
ID01,ID01_Session01,1,22438,1061493,5312
ID01,ID01_Session01,2,219,1083931,0
ID01,ID01_Session01,0,891,1157727,0
ID01,ID01_Session01,0,62,1158946,328
ID01,ID01_Session01,0,485,1159805,797
ID01,ID01_Session01,0,94,1160446,156
ID01,ID01_Session01,0,578,1161462,922
ID01,ID01_Session01,0,78,1162196,156
ID01,ID01_Session01,0,610,1162883,609
ID01,ID01_Session01,0,94,1163633,140
ID01,ID01_Session01,0,719,1164493,766
ID01,ID01_Session01,0,93,1165415,203
ID01,ID01_Session01,0,422,1165805,297
ID01,ID01_Session01,0,78,1166383,156
ID01,ID01_Session01,0,516,1167399,938
ID01,ID01_Session01,0,94,1168055,140
ID01,ID01_Session01,1,1171,1168665,516
ID01,ID01_Session01,0,625,1169836,0
ID01,ID01_Session01,0,125,1170696,235
ID01,ID01_Session01,0,110,1171461,640
ID01,ID01_Session01,0,141,1174430,2859
ID01,ID01_Session01,0,484,1180868,6297
ID01,ID01_Session01,0,78,1181540,188
ID01,ID01_Session01,1,4969,1184102,2484
ID01,ID01_Session01,0,484,1189071,0
ID01,ID01_Session01,0,78,1189774,219
ID01,ID01_Session01,0,468,1191118,1266
ID01,ID01_Session01,0,78,1191758,172
ID01,ID01_Session01,1,9719,1369460,177624
ID01,ID01_Session01,0,78,1379179,0
ID01,ID01_Session01,0,109,1382429,3172
ID01,ID01_Session01,0,94,1400491,17953
ID01,ID01_Session01,0,828,1417726,17141
ID01,ID01_Session01,0,78,1418788,234
ID01,ID01_Session01,0,469,1419460,594
ID01,ID01_Session01,0,109,1420132,203
ID01,ID01_Session01,0,312,1420804,563
ID01,ID01_Session01,0,94,1421241,125
ID01,ID01_Session01,0,921,1422179,844
ID01,ID01_Session01,0,78,1423241,141
ID01,ID01_Session01,0,1266,1424319,1000
ID01,ID01_Session01,0,94,1425788,203
ID01,ID01_Session01,1,49343,1426835,953
ID01,ID01_Session01,1,18375,1478038,1860
ID01,ID01_Session01,0,312,1496413,0
ID01,ID01_Session01,0,94,1496897,172
ID01,ID01_Session01,1,968,1497413,422
ID01,ID01_Session01,0,375,1498381,0
ID01,ID01_Session01,0,94,1498928,172
ID01,ID01_Session01,0,390,1499522,500
ID01,ID01_Session01,0,94,1500084,172
ID01,ID01_Session01,1,2047,1500678,500
ID01,ID01_Session01,0,672,1502725,0
ID01,ID01_Session01,0,110,1503537,140
ID01,ID01_Session01,0,844,1504678,1031
ID01,ID01_Session01,0,94,1505678,156
ID01,ID01_Session01,0,469,1506209,437
ID01,ID01_Session01,0,62,1506819,141
ID01,ID01_Session01,0,797,1507537,656
ID01,ID01_Session01,0,125,1508506,172
ID01,ID01_Session01,0,422,1511272,2641
ID01,ID01_Session01,0,94,1511881,187
ID01,ID01_Session01,1,1735,1513256,1281
ID01,ID01_Session01,0,765,1514991,0
ID01,ID01_Session01,0,110,1515912,156
ID01,ID01_Session01,1,906,1517350,1328
ID01,ID01_Session01,0,1266,1518256,0
ID01,ID01_Session01,0,94,1519709,187
ID01,ID01_Session01,0,906,1520897,1094
ID01,ID01_Session01,0,125,1522053,250
ID01,ID01_Session01,0,125,1544084,21906
ID01,ID01_Session01,0,1562,1546647,2438
ID01,ID01_Session01,0,94,1548412,203
ID01,ID01_Session01,0,109,1549381,875
ID01,ID01_Session01,1,38077,1558100,8610
ID01,ID01_Session01,0,94,1637177,41000
ID01,ID01_Session01,1,2640,1638037,766
ID01,ID01_Session01,0,94,1640677,0
ID01,ID01_Session01,1,4109,1664943,24172
ID01,ID01_Session01,0,109,1669052,0
ID01,ID01_Session01,0,94,1671161,2000
ID01,ID01_Session01,0,109,1675599,4344
ID01,ID01_Session01,0,375,1676958,1250
ID01,ID01_Session01,0,62,1677521,188
ID01,ID01_Session01,1,12484,1687521,9938
ID01,ID01_Session01,0,109,1700005,0
ID01,ID01_Session01,1,15078,1701099,985
ID01,ID01_Session01,0,94,1717739,1562
ID01,ID01_Session01,0,125,1720395,2562
ID01,ID01_Session01,1,35765,1722677,2157
ID01,ID01_Session01,0,94,1758442,0
ID01,ID01_Session01,1,16968,1759208,672
ID01,ID01_Session02,0,110,12374,12281
ID01,ID01_Session02,1,10546,16828,4344
ID01,ID01_Session02,0,125,27374,0
ID01,ID01_Session02,1,1250,27984,485
ID01,ID01_Session02,1,7594,33390,4156
ID01,ID01_Session02,0,93,40984,0
ID01,ID01_Session02,0,140,45937,4860
ID01,ID01_Session02,1,21718,47312,1235
