userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime,X,Y,reldist,totaldist
ID01,ID01_Session01,1,27500,906,828,275,888,23.71,37.07
ID01,ID01_Session01,0,94,28406,0,561,719,333.40,3375.46
ID01,ID01_Session01,0,125,33687,5187,305,480,350.22,1216.32
ID01,ID01_Session01,1,13609,38953,5141,108,452,197.00,774.32
ID01,ID01_Session01,0,110,52562,0,117,472,0.00,0.00
ID01,ID01_Session01,1,8657,54515,1843,119,474,2.83,18.83
ID01,ID01_Session01,0,578,63172,0,654,367,490.90,986.00
ID01,ID01_Session01,0,78,63953,203,811,399,21.10,21.65
ID01,ID01_Session01,0,109,207546,143515,592,534,257.27,3977.26
ID01,ID01_Session01,0,187,216421,8766,710,618,144.84,165.01
ID01,ID01_Session01,0,609,217749,1141,568,532,166.01,190.26
ID01,ID01_Session01,0,94,218608,250,703,538,4.47,5.41
ID01,ID01_Session01,1,41796,220093,1391,582,690,194.28,320.83
ID01,ID01_Session01,0,110,261889,0,612,616,79.85,92.66
ID01,ID01_Session01,1,13453,262733,734,623,613,11.40,12.06
ID01,ID01_Session01,1,16062,304155,27969,618,679,6.00,49.81
ID01,ID01_Session01,0,484,320217,0,676,625,79.93,759.38
ID01,ID01_Session01,0,62,320889,188,779,632,12.21,12.54
ID01,ID01_Session01,0,375,321670,719,558,637,221.06,221.86
ID01,ID01_Session01,0,94,322264,219,666,647,56.72,57.96
ID01,ID01_Session01,1,3797,323092,734,627,637,40.26,64.17
ID01,ID01_Session01,0,406,326889,0,618,561,76.53,157.31
ID01,ID01_Session01,0,62,327561,266,745,565,10.77,11.99
ID01,ID01_Session01,0,125,330686,3063,614,582,132.10,489.20
ID01,ID01_Session01,0,94,331123,312,724,600,111.46,112.43
ID01,ID01_Session01,1,4579,331607,390,705,595,19.65,31.54
ID01,ID01_Session01,0,110,337529,1343,487,115,507.67,549.53
ID01,ID01_Session01,0,94,338498,859,411,439,332.79,398.13
ID01,ID01_Session01,1,15421,339139,547,419,449,12.81,17.89
ID01,ID01_Session01,0,63,354560,0,1580,610,1165.35,3281.86
ID01,ID01_Session01,1,41140,355045,422,1474,621,106.57,113.27
ID01,ID01_Session01,0,141,408888,12703,871,793,570.73,2331.05
ID01,ID01_Session01,1,9469,409419,390,872,781,12.04,12.41
ID01,ID01_Session01,0,141,418888,0,946,563,134.94,230.46
ID01,ID01_Session01,1,45327,470857,51828,921,592,38.29,1817.66
ID01,ID01_Session01,0,78,600481,84297,570,424,389.13,1038.66
ID01,ID01_Session01,0,172,610434,9875,541,769,346.22,751.06
ID01,ID01_Session01,1,2735,633449,22843,478,705,89.81,442.96
ID01,ID01_Session01,1,43796,652387,16203,485,703,6.32,40.24
ID01,ID01_Session01,1,50640,705543,9360,505,723,27.59,89.58
ID01,ID01_Session01,1,38812,777370,21187,819,830,188.31,207.74
ID01,ID01_Session01,1,30922,819979,3797,794,609,220.20,292.79
ID01,ID01_Session01,0,1109,850901,0,636,532,222.08,1848.36
ID01,ID01_Session01,0,78,852464,454,899,556,134.65,138.81
ID01,ID01_Session01,1,20031,856151,3609,848,508,70.04,228.95
ID01,ID01_Session01,1,45937,936869,60687,859,539,32.89,34.12
ID01,ID01_Session01,2,844,982806,0,1088,583,-1.00,-1.00
ID01,ID01_Session01,1,22438,1061493,5312,894,579,56.94,663.25
ID01,ID01_Session01,2,219,1083931,0,914,561,-1.00,-1.00
ID01,ID01_Session01,0,891,1157727,0,718,322,324.72,1131.63
ID01,ID01_Session01,0,62,1158946,328,963,329,9.90,13.41
ID01,ID01_Session01,0,485,1159805,797,947,326,16.28,93.56
ID01,ID01_Session01,0,94,1160446,156,1065,325,2.24,3.00
ID01,ID01_Session01,0,578,1161462,922,753,357,313.64,332.68
ID01,ID01_Session01,0,78,1162196,156,928,368,5.83,6.65
ID01,ID01_Session01,0,610,1162883,609,911,360,18.79,57.96
ID01,ID01_Session01,0,94,1163633,140,1025,368,5.00,5.00
ID01,ID01_Session01,0,719,1164493,766,741,376,284.11,284.97
ID01,ID01_Session01,0,93,1165415,203,948,384,8.06,8.66
ID01,ID01_Session01,0,422,1165805,297,984,385,36.01,36.41
ID01,ID01_Session01,0,78,1166383,156,1076,394,3.16,4.00
ID01,ID01_Session01,0,516,1167399,938,826,398,250.03,256.66
ID01,ID01_Session01,0,94,1168055,140,981,407,5.00,5.00
ID01,ID01_Session01,1,1171,1168665,516,930,423,53.45,71.86
ID01,ID01_Session01,0,625,1169836,0,715,271,263.30,298.08
ID01,ID01_Session01,0,125,1170696,235,841,298,89.50,91.58
ID01,ID01_Session01,0,110,1171461,640,1021,279,181.00,183.42
ID01,ID01_Session01,0,141,1174430,2859,827,295,194.66,446.45
ID01,ID01_Session01,0,484,1180868,6297,770,321,62.65,617.39
ID01,ID01_Session01,0,78,1181540,188,913,325,19.00,19.00
ID01,ID01_Session01,1,4969,1184102,2484,843,298,75.03,112.40
ID01,ID01_Session01,0,484,1189071,0,1023,154,228.95,452.43
ID01,ID01_Session01,0,78,1189774,219,1078,158,2.00,2.00
ID01,ID01_Session01,0,468,1191118,1266,671,201,409.27,414.12
ID01,ID01_Session01,0,78,1191758,172,714,220,15.62,16.78
ID01,ID01_Session01,1,9719,1369460,177624,1128,508,504.32,1043.09
ID01,ID01_Session01,0,78,1379179,0,25,68,1165.24,1702.61
ID01,ID01_Session01,0,109,1382429,3172,419,526,604.15,1703.62
ID01,ID01_Session01,0,94,1400491,17953,783,688,398.42,1055.23
ID01,ID01_Session01,0,828,1417726,17141,525,503,317.47,2431.60
ID01,ID01_Session01,0,78,1418788,234,660,505,0.00,0.00
