sessionID,duration
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:27.500000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:00.125000
ID01_Session01,00:00:13.609000
ID01_Session01,00:00:00.110000
ID01_Session01,00:00:08.657000
ID01_Session01,00:00:00.578000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:00.109000
ID01_Session01,00:00:00.187000
ID01_Session01,00:00:00.609000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:41.796000
ID01_Session01,00:00:00.110000
ID01_Session01,00:00:13.453000
ID01_Session01,00:00:16.062000
ID01_Session01,00:00:00.484000
ID01_Session01,00:00:00.062000
ID01_Session01,00:00:00.375000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:03.797000
ID01_Session01,00:00:00.406000
ID01_Session01,00:00:00.062000
ID01_Session01,00:00:00.125000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:04.579000
ID01_Session01,00:00:00.110000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:15.421000
ID01_Session01,00:00:00.063000
ID01_Session01,00:00:41.140000
ID01_Session01,00:00:00.141000
ID01_Session01,00:00:09.469000
ID01_Session01,00:00:00.141000
ID01_Session01,00:00:45.327000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:00.172000
ID01_Session01,00:00:02.735000
ID01_Session01,00:00:43.796000
ID01_Session01,00:00:50.640000
ID01_Session01,00:00:38.812000
ID01_Session01,00:00:30.922000
ID01_Session01,00:00:01.109000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:20.031000
ID01_Session01,00:00:45.937000
ID01_Session01,00:00:00.844000
ID01_Session01,00:00:00.250000
ID01_Session01,00:00:00.188000
ID01_Session01,00:00:00.203000
ID01_Session01,00:00:00.281000
ID01_Session01,00:00:00.219000
ID01_Session01,00:00:00.797000
ID01_Session01,00:00:01.140000
ID01_Session01,00:00:53.766000
ID01_Session01,00:00:15.687000
ID01_Session01,00:00:22.438000
ID01_Session01,00:00:00.219000
ID01_Session01,00:00:00.187000
ID01_Session01,00:00:00.188000
ID01_Session01,00:00:00.250000
ID01_Session01,00:00:00.156000
ID01_Session01,00:00:00.172000
ID01_Session01,00:00:00.156000
ID01_Session01,00:00:00.172000
ID01_Session01,00:00:00.437000
ID01_Session01,00:00:00.219000
ID01_Session01,00:00:00.203000
ID01_Session01,00:00:00.297000
ID01_Session01,00:00:00.250000
ID01_Session01,00:00:00.500000
ID01_Session01,00:00:00.250000
ID01_Session01,00:00:01.422000
ID01_Session01,00:00:06.703000
ID01_Session01,00:00:00.219000
ID01_Session01,00:00:00.531000
ID01_Session01,00:00:00.219000
ID01_Session01,00:00:01.390000
ID01_Session01,00:00:00.766000
ID01_Session01,00:00:42.781000
ID01_Session01,00:00:16.109000
ID01_Session01,00:00:00.891000
ID01_Session01,00:00:00.062000
ID01_Session01,00:00:00.485000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:00.578000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:00.610000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:00.719000
ID01_Session01,00:00:00.093000
ID01_Session01,00:00:00.422000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:00.516000
ID01_Session01,00:00:00.094000
ID01_Session01,00:00:01.171000
ID01_Session01,00:00:00.625000
ID01_Session01,00:00:00.125000
ID01_Session01,00:00:00.110000
ID01_Session01,00:00:00.141000
ID01_Session01,00:00:00.484000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:04.969000
ID01_Session01,00:00:00.484000
ID01_Session01,00:00:00.078000
ID01_Session01,00:00:00.468000
ID01_Session01,00:00:00.078000
