Date,Time,Msec,Application,Window,Message,X,Y,Rel. dist.,Total dist.,Rate,Extra info
2010:02:24,16:32:50,037,"uLog.exe"," ",Logging started,-1,-1,-1.00,-1.00,-1.00, 
2010:02:24,16:32:52,177,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,627,14,627.16,3426.27,0.18, 
2010:02:24,16:32:52,302,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,627,14,0.00,0.00,0.00, 
2010:02:24,16:32:54,693,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,697,640,629.90,700.96,0.90, 
2010:02:24,16:33:00,256,"Explorer.EXE","4:32 PM",Mouse wheel stopped,419,618,0.00,0.00,1.00,2 Wheel actions
2010:02:24,16:33:03,115,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,389,615,256.68,264.95,0.97, 
2010:02:24,16:33:03,224,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,389,615,0.00,0.00,0.00, 
2010:02:24,16:33:09,990,"firefox.exe","SeaWorld trainer killed by ki...le - CNN.com - Mozilla Firefox",Mouse wheel,659,493,296.28,338.67,0.87, 
2010:02:24,16:33:42,912,"firefox.exe","SeaWorld trainer killed by ki...le - CNN.com - Mozilla Firefox",Mouse wheel stopped,300,74,0.00,0.00,1.00,6 Wheel actions
2010:02:24,16:33:42,912,"firefox.exe","SeaWorld trainer killed by ki...le - CNN.com - Mozilla Firefox",Left mouse button pressed,300,74,595.48,660.12,0.90, 
2010:02:24,16:33:43,022,"firefox.exe","SeaWorld trainer killed by ki...le - CNN.com - Mozilla Firefox",Left mouse button released,300,74,0.00,0.00,0.00, 
2010:02:24,16:33:44,490,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel,489,632,589.14,919.52,0.64, 
2010:02:24,16:33:49,162,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Mouse wheel stopped,373,572,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:33:49,162,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button pressed,373,572,130.60,173.25,0.75, 
2010:02:24,16:33:49,240,"firefox.exe","CNN.com - Breaking News, U.S....& Video News - Mozilla Firefox",Left mouse button released,373,572,0.00,0.00,0.00, 
2010:02:24,16:33:55,381,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,511,455,180.92,487.29,0.37, 
2010:02:24,16:33:56,068,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,543,455,32.00,32.00,1.00, 
2010:02:24,16:33:56,303,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,545,455,2.00,2.00,1.00, 
2010:02:24,16:33:56,412,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,545,455,0.00,0.00,0.00, 
2010:02:24,16:33:56,897,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel,554,487,33.24,37.71,0.88, 
2010:02:24,16:33:57,928,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel stopped,536,494,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:33:57,928,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,536,494,19.31,23.83,0.81, 
2010:02:24,16:33:58,615,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,492,494,44.00,44.00,1.00, 
2010:02:24,16:33:59,193,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel,475,494,17.00,17.00,1.00, 
2010:02:24,16:34:00,256,"Explorer.EXE","4:33 PM",Mouse wheel stopped,478,491,0.00,0.00,1.00,3 Wheel actions
2010:02:24,16:34:00,881,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,510,424,79.16,90.03,0.88, 
2010:02:24,16:34:00,959,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,510,424,0.00,0.00,0.00, 
2010:02:24,16:34:11,272,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,463,436,48.51,56.91,0.85, 
2010:02:24,16:34:11,725,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,466,426,10.44,12.41,0.84, 
2010:02:24,16:34:11,975,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,466,426,0.00,0.00,0.00, 
2010:02:24,16:34:12,084,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,466,426,0.00,0.00,0.00, 
2010:02:24,16:34:13,756,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel,518,426,52.00,52.00,1.00, 
2010:02:24,16:34:14,944,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel stopped,526,428,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:34:14,944,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,526,428,8.25,22.00,0.37, 
2010:02:24,16:34:15,647,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,535,443,17.49,24.00,0.73, 
2010:02:24,16:34:15,772,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,535,443,0.00,0.00,0.00, 
2010:02:24,16:34:15,865,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,535,443,0.00,0.00,0.00, 
2010:02:24,16:34:18,647,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,610,467,78.75,120.50,0.65, 
2010:02:24,16:34:19,022,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,610,483,16.00,16.00,1.00, 
2010:02:24,16:34:19,162,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,610,483,0.00,0.00,0.00, 
2010:02:24,16:34:19,272,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,610,483,0.00,0.00,0.00, 
2010:02:24,16:34:22,866,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,596,514,34.01,43.83,0.78, 
2010:02:24,16:34:23,444,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,596,532,18.00,18.00,1.00, 
2010:02:24,16:34:23,522,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,596,532,0.00,0.00,0.00, 
2010:02:24,16:34:23,631,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,596,532,0.00,0.00,0.00, 
2010:02:24,16:34:24,631,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,586,561,30.68,38.41,0.80, 
2010:02:24,16:34:25,100,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,569,545,23.35,28.90,0.81, 
2010:02:24,16:34:25,241,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,569,545,0.00,0.00,0.00, 
2010:02:24,16:34:25,412,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,569,545,0.00,0.00,0.00, 
2010:02:24,16:34:27,272,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel,568,545,1.00,1.00,1.00, 
2010:02:24,16:35:00,256,"Explorer.EXE","4:34 PM",Mouse wheel stopped,592,534,0.00,0.00,1.00,6 Wheel actions
2010:02:24,16:35:01,038,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel,592,534,1.41,2.00,0.71, 
2010:02:24,16:35:01,944,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Mouse wheel stopped,826,411,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:35:01,944,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button pressed,826,411,264.36,285.78,0.93, 
2010:02:24,16:35:02,022,"firefox.exe","Hummer to close after deal to...eb. 24, 2010 - Mozilla Firefox",Left mouse button released,826,411,0.00,0.00,0.00, 
2010:02:24,16:35:06,678,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,546,429,280.58,297.07,0.94, 
2010:02:24,16:35:36,647,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,434,708,0.00,0.00,1.00,7 Wheel actions
2010:02:24,16:35:36,647,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,434,708,237.26,243.34,0.98, 
2010:02:24,16:35:37,210,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,441,662,46.53,49.83,0.93, 
2010:02:24,16:35:37,303,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,441,662,0.00,0.00,0.00, 
2010:02:24,16:35:37,428,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,441,662,0.00,0.00,0.00, 
2010:02:24,16:35:47,647,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,726,668,285.06,359.71,0.79, 
2010:02:24,16:35:54,163,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,406,606,0.00,0.00,1.00,3 Wheel actions
2010:02:24,16:35:54,163,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,406,606,285.11,295.64,0.96, 
2010:02:24,16:35:54,225,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,406,606,0.00,0.00,0.00, 
2010:02:24,16:35:56,757,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,588,533,196.09,250.60,0.78, 
2010:02:24,16:36:00,257,"Explorer.EXE","4:35 PM",Mouse wheel stopped,586,533,0.00,0.00,1.00,4 Wheel actions
2010:02:24,16:36:10,038,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,505,781,261.20,458.07,0.57, 
2010:02:24,16:36:10,460,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,519,741,42.38,45.90,0.92, 
2010:02:24,16:36:10,569,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,519,741,0.00,0.00,0.00, 
2010:02:24,16:36:10,679,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,519,741,0.00,0.00,0.00, 
2010:02:24,16:36:13,804,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,519,741,0.00,0.00,0.00, 
2010:02:24,16:36:14,522,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,504,754,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:36:14,522,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,504,754,19.85,22.55,0.88, 
2010:02:24,16:36:14,616,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,503,754,1.00,1.00,1.00, 
2010:02:24,16:36:16,976,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,534,672,87.66,102.11,0.86, 
2010:02:24,16:36:27,210,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,535,775,0.00,0.00,1.00,3 Wheel actions
2010:02:24,16:36:27,210,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,535,775,103.00,146.72,0.70, 
2010:02:24,16:36:27,757,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,658,809,127.61,130.67,0.98, 
2010:02:24,16:36:27,882,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,658,809,0.00,0.00,0.00, 
2010:02:24,16:36:27,960,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,658,809,0.00,0.00,0.00, 
2010:02:24,16:36:37,054,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,713,822,56.52,125.94,0.45, 
2010:02:24,16:36:38,148,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,462,822,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:36:38,148,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,462,822,251.00,260.73,0.96, 
2010:02:24,16:36:38,241,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,462,822,0.00,0.00,0.00, 
2010:02:24,16:36:41,241,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,593,717,167.89,273.21,0.61, 
2010:02:24,16:36:56,866,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,611,752,0.00,0.00,1.00,4 Wheel actions
2010:02:24,16:36:56,866,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,611,752,34.37,215.49,0.16, 
2010:02:24,16:36:58,476,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,586,752,25.00,25.00,1.00, 
2010:02:24,16:36:58,601,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,586,752,0.00,0.00,0.00, 
2010:02:24,16:36:58,695,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,586,752,0.00,0.00,0.00, 
2010:02:24,16:36:59,492,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,556,757,30.41,32.66,0.93, 
2010:02:24,16:37:00,257,"Explorer.EXE","4:36 PM",Mouse wheel stopped,554,752,0.00,0.00,1.00,1 Wheel actions
2010:02:24,16:37:01,679,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,483,769,73.98,279.94,0.26, 
2010:02:24,16:37:01,804,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,482,769,1.00,1.00,1.00, 
2010:02:24,16:37:05,492,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,597,741,118.36,180.34,0.66, 
2010:02:24,16:37:25,523,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,730,885,0.00,0.00,1.00,5 Wheel actions
2010:02:24,16:37:25,523,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,730,885,219.49,445.29,0.49, 
2010:02:24,16:37:25,648,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,730,885,0.00,0.00,0.00, 
2010:02:24,16:37:28,132,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,659,757,146.37,167.68,0.87, 
2010:02:24,16:37:55,070,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel stopped,661,825,0.00,0.00,1.00,6 Wheel actions
2010:02:24,16:37:55,070,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,661,825,105.68,114.34,0.92, 
2010:02:24,16:37:55,351,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,661,825,0.00,0.00,0.00, 
2010:02:24,16:37:57,664,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Mouse wheel,597,712,129.87,142.37,0.91, 
2010:02:24,16:38:00,258,"Explorer.EXE","4:37 PM",Mouse wheel stopped,596,711,0.00,0.00,1.00,3 Wheel actions
2010:02:24,16:38:10,976,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button pressed,507,694,91.78,101.84,0.90, 
2010:02:24,16:38:11,945,"firefox.exe","10 best cars: Consumer Report...CNNMoney.com - Mozilla Firefox",Left mouse button released,754,722,248.58,253.71,0.98, 
